txn_id,txn_date,contact_id,ticker,sales,redemptions
422908498,2/25/2016,294382276,FSESX,1140739.21,0
422908499,8/31/2015,448325471,VIMAX,584829.06,0
422908500,3/6/2016,532659537,TEDIX,253000.41,0
422908501,10/21/2015,980973047,FESGX,450000,0
422908502,5/27/2015,508179324,POAGX,230000,0
422908503,12/11/2015,444961901,VUSTX,670000,0
422908504,7/20/2015,309508434,FAGIX,300000,0
422908505,6/8/2015,555667789,VFINX,519930.84,0
422908506,4/5/2015,427659114,FSDIX,789829.36,0
422908507,2/8/2016,356414050,PRSVX,869027.34,0
422908508,1/15/2016,576798679,VAFAX,119848.8,0
422908509,10/6/2015,357758636,VTENX,389243.79,0
422908510,11/26/2015,779883767,TWCGX,558858.72,0
422908511,9/13/2015,262802797,ANEFX,688103.88,0
422908512,3/24/2016,427166967,VWELX,598146,0
422908513,1/12/2016,340508577,JATTX,757511.76,0
422908514,6/10/2015,531057553,VBMFX,109566.27,0
422908515,3/20/2016,100321694,PRMTX,487893,0
422908516,7/16/2015,256620394,TEMWX,328537.44,0
422908517,7/15/2015,437219559,PRASX,527469.78,0
422908518,12/4/2015,711444721,FSPTX,149280.15,0
422908519,2/20/2015,138714308,FFFFX,776155.38,0
422908520,3/4/2015,538410807,USIBX,676456.52,0
422908521,12/16/2015,245515513,JAOSX,974847.16,0
422908522,2/14/2016,621339046,VTSAX,785539.66,0
422908523,2/7/2016,235769478,SMMIX,616473.44,0
422908524,10/25/2015,460986818,VFSTX,516956.96,0
422908525,1/18/2016,121214762,PRPFX,546130.75,0
422908526,1/13/2016,442546105,FSICX,19846.44,0
422908527,6/29/2015,802790717,VMCPX,803682,0
422908528,3/28/2016,403577358,TRRKX,406769.2,0
422908529,1/26/2016,220649706,VTIAX,416541.72,0
422908530,1/30/2015,251101985,PRMTX,822911.8,0
422908531,8/21/2015,727724686,FSIIX,872071.2,0
422908532,1/8/2015,137907234,FHAIX,970788,0
422908533,12/14/2015,352268449,FSELX,79179.92,0
422908534,9/17/2015,117301417,OAKLX,59348.76,0
422908535,9/22/2015,270553682,PRSCX,820787.83,0
422908536,4/4/2015,564949224,WASCX,444712.5,0
422908537,12/23/2015,351800958,VEXPX,582517.62,0
422908538,8/30/2015,768380838,VWINX,937946.4,0
422908539,6/2/2015,245111987,FFFEX,394844.8,0
422908540,8/14/2015,145454711,FRSTX,187424.36,0
422908541,7/18/2015,512615471,VBIAX,502661.61,0
422908542,1/18/2015,506239916,FCISX,581430.84,0
422908543,12/7/2015,489291212,ACRNX,315229.44,0
422908544,2/6/2015,171616264,AKREX,778010.96,0
422908545,7/11/2015,525247708,MCHFX,874680.43,0
422908546,9/30/2015,500947152,MDDVX,942623.04,0
422908547,1/25/2015,450956138,FCNKX,294197.4,0
422908548,12/8/2015,235072871,FSNGX,930899.3,0
422908549,2/11/2016,250695750,VCVLX,431150.28,0
422908550,10/21/2015,230419432,FSCHX,597628.59,0
422908551,1/24/2016,744708018,VBMFX,284010.05,0
422908552,10/28/2015,445175195,FTBFX,244680,0
422908553,12/6/2015,402361947,FBSOX,352306.08,0
422908554,1/31/2015,284418805,TWEIX,381439.11,0
422908555,2/1/2015,106199913,MWTIX,879977.7,0
422908556,1/5/2016,257627630,VMCPX,58655.22,0
422908557,1/17/2015,512043481,VTSNX,664482.4,0
422908558,11/23/2015,990428897,USIBX,420048.94,0
422908559,1/17/2016,464797494,FKUTX,156281.76,0
422908560,10/20/2015,744520525,HSGFX,253940.7,0
422908561,1/19/2016,316897171,PRUAX,634849.15,0
422908562,9/3/2015,330333974,VIIIX,848907.72,0
422908563,10/13/2015,433939229,MPGFX,126716.98,0
422908564,2/2/2015,401984599,VSCGX,370261.36,0
422908565,11/24/2015,285752971,FBSOX,194838.8,0
422908566,7/24/2015,240499418,VWESX,642368.1,0
422908567,12/25/2015,206859874,RPSIX,923808.5,0
422908568,9/7/2015,557667829,VFINX,894338.44,0
422908569,9/24/2015,146473379,FLATX,476292.25,0
422908570,3/14/2015,307178838,DODFX,116443.56,0
422908571,4/24/2015,322122611,ANWPX,38786.28,0
422908572,7/6/2015,100874725,FDVLX,890621.64,0
422908573,3/27/2015,886840621,MDISX,38702.6,0
422908574,4/12/2015,831307582,ACSTX,212860.34,0
422908575,11/4/2015,127103109,VGTSX,29023.29,0
422908576,1/16/2015,140141040,VBINX,319008.03,0
422908577,3/19/2016,570459079,VWUSX,367311.04,0
422908578,1/31/2016,104872715,VGHCX,202858.32,0
422908579,8/31/2015,269735232,OTCFX,888665.72,0
422908580,11/12/2015,429548289,FPHAX,280003.7,0
422908581,7/21/2015,173500502,FBSOX,810889.8,0
422908582,1/5/2015,623114729,TRRNX,415026.54,0
422908583,1/5/2016,538218039,DLTNX,733066.36,0
422908584,7/16/2015,373426496,FDCAX,587849.07,0
422908585,9/25/2015,432118068,VTINX,520389.9,0
422908586,3/19/2016,279146236,VIMSX,674354.8,0
422908587,5/5/2015,990852352,VGSLX,702823.56,0
422908588,3/12/2016,333225537,FOCPX,500519.24,0
422908589,2/12/2016,432977437,JNGLX,769107.2,0
422908590,3/10/2016,219901046,GASFX,432443.25,0
422908591,1/20/2016,354885730,FLVCX,729362.88,0
422908592,3/22/2016,332960161,FAGIX,527678.25,0
422908593,4/15/2015,265299001,VIGIX,738356.85,0
422908594,3/26/2016,628462971,VIMSX,776582.64,0
422908595,1/20/2016,113613442,VWNAX,814896.7,0
422908596,10/14/2015,492026587,TRRJX,325831.52,0
422908597,9/30/2015,975414204,FSEVX,114930.36,0
422908598,1/31/2015,118031218,FXSIX,19136.12,0
422908599,6/9/2015,468810071,VFINX,507070.61,0
422908600,1/27/2015,948032737,TWEIX,105219.29,0
422908601,7/9/2015,164123730,VEXPX,822384.46,0
422908602,3/23/2016,280096207,WASCX,592475.72,0
422908603,1/9/2016,956452327,VWAHX,573213.6,0
422908604,4/3/2015,698620569,VIPSX,324582.02,0
422908605,4/19/2015,693927677,FNCMX,601345.71,0
422908606,6/25/2015,547319740,FSELX,734101.06,0
422908607,8/13/2015,286509713,GASFX,295432.48,0
422908608,12/28/2015,807465804,VTSMX,752446.56,0
422908609,1/14/2016,280954466,SWPPX,380930.8,0
422908610,1/27/2016,156607919,VIGAX,570661.8,0
422908611,1/10/2015,769441495,OSTIX,894026.48,0
422908612,10/8/2015,101018815,VWAHX,85578.66,0
422908613,1/2/2015,157629459,FHAIX,769790.79,0
422908614,10/13/2015,995834010,GAUCX,712500,0
422908615,8/7/2015,406399442,FAIRX,930811.84,0
422908616,3/3/2015,103926831,JAOSX,949149,0
422908617,9/16/2015,492080026,VIVIX,104397.15,0
422908618,7/5/2015,314927093,FSIVX,161313.68,0
422908619,6/15/2015,415698711,VFSTX,123297.2,0
422908620,3/26/2015,162021772,VHGEX,142153.65,0
422908621,7/12/2015,265421074,PRGFX,180060.72,0
422908622,3/15/2015,160761451,VINEX,748645.08,0
422908623,12/18/2015,296068861,VIIIX,946622,0
422908624,10/23/2015,278499661,VTMSX,643590.76,0
422908625,1/22/2016,251015480,FSESX,624148.14,0
422908626,10/21/2015,665490334,TEPLX,416030.56,0
422908627,3/13/2015,658959178,VFICX,689463.83,0
422908628,4/5/2015,145949745,AEPGX,406052.87,0
422908629,12/31/2015,123475578,NYVTX,923206.06,0
422908630,2/11/2016,624127334,FSMEX,489616.92,0
422908631,1/29/2016,114380161,PIMIX,847390.5,0
422908632,3/2/2015,395263451,SHAPX,658428.4,0
422908633,9/1/2015,172120461,FESGX,131436.76,0
422908634,5/27/2015,187104705,JNBAX,365990.43,0
422908635,6/4/2015,219945949,POAGX,487970.08,0
422908636,10/7/2015,144320473,CWGIX,694413.78,0
422908637,4/4/2015,397097625,VWENX,253315.62,0
422908638,6/19/2015,443950828,VWUSX,637370.12,0
422908639,1/7/2015,450956138,PRPFX,552963.34,0
422908640,6/24/2015,907924588,FFRHX,803516.92,0
422908641,1/23/2016,278438729,PAAIX,840843,0
422908642,3/8/2015,267450307,VEMAX,672522.48,0
422908643,5/7/2015,636239428,FSICX,914631.06,0
422908644,12/29/2015,553137413,FFFFX,373081.2,0
422908645,12/5/2015,257144779,GFACX,876300.9,0
422908646,2/10/2015,532659537,VISVX,391168.26,0
422908647,3/18/2016,353132475,VSMAX,549441.63,0
422908648,8/2/2015,264659771,HAINX,204682.94,0
422908649,1/1/2016,273490722,VTMFX,139442.85,0
422908650,1/6/2016,260766052,VIMSX,371088.4,0
422908651,3/2/2016,817424660,WASCX,176238.87,0
422908652,11/19/2015,227930050,VWNEX,315159.6,0
422908653,8/4/2015,376249960,FSEMX,222401.52,0
422908654,3/23/2016,276995172,PONCX,74034.8,0
422908655,2/14/2016,762991334,FDGFX,740300.8,0
422908656,7/13/2015,993532097,FHAIX,897552.64,0
422908657,3/14/2015,168485123,VTENX,184814,0
422908658,5/26/2015,152932585,FLMVX,9239.35,0
422908659,6/22/2015,342261969,GABUX,664892.64,0
422908660,3/17/2015,378503416,PRLAX,646351.3,0
422908661,6/26/2015,547971823,PRFDX,674038.93,0
422908662,3/1/2015,725501018,VEXMX,812460,0
422908663,7/6/2015,158124735,FRESX,627801.16,0
422908664,2/20/2015,136531400,TRMCX,719743.44,0
422908665,1/8/2016,325330706,VIEIX,331919.64,0
422908666,8/29/2015,331541603,FCNKX,73754.72,0
422908667,1/10/2015,961904862,WASCX,285753.04,0
422908668,4/24/2015,143400536,PRHYX,488079.12,0
422908669,2/22/2015,900360821,WASAX,9206.22,0
422908670,1/18/2015,167254703,FSPHX,653540.09,0
422908671,1/13/2016,110629614,FLPSX,918457,0
422908672,1/7/2016,912746697,ACSTX,807911.28,0
422908673,1/7/2016,302656781,FSUTX,137619.75,0
422908674,9/22/2015,191469867,JAVLX,705956.02,0
422908675,2/5/2015,204528722,VWESX,916755,0
422908676,7/4/2015,156983128,FRDPX,467459.88,0
422908677,3/15/2015,192703615,LMVTX,549593.4,0
422908678,8/23/2015,682731050,ARTIX,430232.36,0
422908679,10/2/2015,221043036,VSCGX,585837.44,0
422908680,1/23/2015,236579488,FFFHX,503365.5,0
422908681,1/25/2016,195051384,VBTLX,73144.4,0
422908682,11/11/2015,719544753,FSESX,383914.44,0
422908683,2/20/2016,180190259,FDFAX,401949.68,0
422908684,11/21/2015,330849334,FSPTX,237366.22,0
422908685,1/12/2016,898244184,PNOPX,739131.48,0
422908686,12/12/2015,963570685,SGENX,27372.39,0
422908687,4/8/2015,699244918,FXSIX,318899,0
422908688,1/5/2015,550056996,PRRIX,464482.5,0
422908689,6/19/2015,503112525,VBMPX,18194.4,0
422908690,2/13/2015,972169074,FSITX,836717.92,0
422908691,1/27/2015,644502353,PREMX,172631.34,0
422908692,1/22/2016,967200601,TRRDX,308457.86,0
422908693,8/17/2015,207234380,VFICX,127007.58,0
422908694,2/15/2015,687348646,VTABX,280806.68,0
422908695,9/1/2015,893921687,FSCRX,126798.14,0
422908696,7/27/2015,680419829,VGHAX,27161.79,0
422908697,12/11/2015,834250887,VFINX,660820.82,0
422908698,2/24/2015,130695158,VGSNX,117661.44,0
422908699,1/22/2015,206882647,PRWAX,841675.11,0
422908700,11/5/2015,386294545,VASGX,108588.72,0
422908701,1/6/2015,109078237,VWNFX,615238.16,0
422908702,7/13/2015,959834182,AMRMX,877559.97,0
422908703,7/27/2015,473089601,VIFSX,54252.12,0
422908704,10/19/2015,133948412,PRGFX,397781.56,0
422908705,9/12/2015,476652524,AMCPX,777301.54,0
422908706,2/28/2016,201892739,PRBLX,695668.82,0
422908707,3/22/2015,930316598,VWAHX,749743.98,0
422908708,12/29/2015,255176222,VWNEX,659387.83,0
422908709,1/28/2016,367702873,VINIX,867132.48,0
422908710,10/11/2015,947286910,USBSX,659008.23,0
422908711,12/11/2015,203283726,VGHAX,577482.24,0
422908712,12/20/2015,274406890,FPURX,559416.7,0
422908713,10/1/2015,728025319,PCRIX,694733.27,0
422908714,12/1/2015,298997802,VWINX,613502.12,0
422908715,10/28/2015,437148573,FFFFX,532257.88,0
422908716,1/20/2015,585703168,VTHRX,396794.64,0
422908717,5/3/2015,584143127,VGSNX,395886.48,0
422908718,1/26/2015,689190549,PRPFX,845611.78,0
422908719,11/24/2015,977829669,FGRIX,583610.95,0
422908720,1/5/2016,149560330,DODGX,619011.42,0
422908721,5/2/2015,637919144,VFFVX,62719.3,0
422908722,9/3/2015,531965345,FDGFX,671695.5,0
422908723,5/8/2015,530963346,FSMEX,331230.29,0
422908724,3/4/2016,110153801,TWEIX,62662.11,0
422908725,9/10/2015,236149721,TEGBX,259573.49,0
422908726,10/30/2015,648652562,FSDIX,715616.8,0
422908727,11/23/2015,824031778,PRNHX,509672.91,0
422908728,9/1/2015,323078616,USBSX,8928.19,0
422908729,1/13/2016,188546659,MPGFX,597506,0
422908730,11/14/2015,102710689,PRDGX,819687.8,0
422908731,1/25/2016,735247421,JAOSX,115780.86,0
422908732,7/25/2015,874974347,MINIX,881702.91,0
422908733,2/21/2015,665490334,PRRIX,436353.82,0
422908734,2/16/2015,131575685,JABAX,720116.73,0
422908735,3/24/2015,482855646,RIDEX,764214.06,0
422908736,11/12/2015,414142227,MQIFX,71062.8,0
422908737,3/9/2016,256526387,ACEIX,568477.44,0
422908738,8/11/2015,465022753,VHCAX,417030.53,0
422908739,1/13/2015,631160140,VWIAX,132934.5,0
422908740,2/19/2015,443835046,USAWX,628888.89,0
422908741,3/7/2016,638670243,VEIRX,841396,0
422908742,6/20/2015,178608731,VPCCX,168279.01,0
422908743,10/28/2015,262045647,SPHIX,664201.5,0
422908744,11/15/2015,738381069,TRRJX,858861.28,0
422908745,2/1/2016,628786836,JAVLX,318721.32,0
422908746,8/14/2015,894112324,FSMEX,690523.86,0
422908747,3/21/2015,205498475,PTTDX,353986.8,0
422908748,1/7/2016,185314915,PRSCX,8842.36,0
422908749,6/24/2015,741037372,DODBX,618419.9,0
422908750,12/7/2015,984319325,VMRGX,494488.96,0
